id,VALUE,unit,description
W2M1MTC4401,3,sec,Rest Time before discharge
W2M1MTC4402,120,A,Discharge Current
W2M1MTC4403,10,sec,Discharge Time
W2M1MTC4404,125,A,Discharge Current Upper Limit
W2M1MTC4405,30,sec,Rest Time after discharge 
W2M1MTC4406,120,A,Charge Current
W2M1MTC4407,10,sec,Charge Time 
W2M1MTC4408,125,A,Charge Current Upper Limit
W2M1MTC4409,1,sec,Rest Time after charge 
W2M1MTC4410,25.2,V,Safety Voltage Upper Limit
W2M1MTC4411,18,V,Safety Voltage Lower Limit
W2M1MTC4412,0.0225,,Cell DCIR Fomula1
W2M1MTC4413,-0.00085,,Cell DCIR Fomula2
W2M1MTC4414,0.135,,Module DCIR Fomula1
W2M1MTC4415,-0.0051,,Module DCIR Fomula2
W2M1MTC4416,0.0000305,,Module DCIR Fomula3
W2M1MTC4417,0.000183,,Cell DCIR Fomula3
W2M1MTC4418,750,,Line Open Check Upper limit
W2M1MTC4419,650,,Line Open Check Lower limit
